"key","fr_FR","nl_NL","it_IT","de_DE","nl_BE","es_ES"
"checkout > checkoutlogin.guesttitle","Commander en tant qu’invité","Bestellen als gast",,,"Bestellen als gast",
"checkout > checkoutlogin.registerbenefits","Pourquoi créer son compte ?","Waarom een account aanmaken?",,,"Waarom een account aanmaken?",
"checkout > checkoutprogressindicator.billing","Facturation","facturatie",,,"facturatie",
"checkout > checkoutprogressindicator.placeorder","Commande","Bestelling",,,"Bestelling",
"checkout > checkoutprogressindicator.shipping","Livraison","Bezorging",,,"Bezorging",
"checkout > checkoutprogressindicator.shippingmethods","Modes de livraison","Bezorgingsmethoden",,,"Bezorgingsmethoden",
"checkout > checkoutprogressindicator.step1","Étape 1 :","Stap 1:",,,"Stap 1:",
"checkout > checkoutprogressindicator.step2","Étape 2 :","Stap 2:",,,"Stap 2:",
"checkout > checkoutprogressindicator.step3","Étape 3 :","Stap 3:",,,"Stap 3:",
"checkout > checkoutprogressindicator.step4","Étape 4 :","Stap 4:",,,"Stap 4:",
"checkout > confirm.error.declined","Votre commande n'a pas pu être validée. Vérifiez vos modes de paiement et recommencez. Nous vous remercions de votre patience.","Uw bestelling kon niet worden bevestigd. Controleer uw betaalwijze en probeer het opnieuw.",,,"Uw bestelling kon niet worden bevestigd. Controleer uw betaalwijze en probeer het opnieuw.",
"checkout > confirm.error.technical","Nous sommes désolés mais votre commande n’a pas pu être validée (le paiement a échoué). Merci de confirmer à nouveau votre commande et de ressaisir les données de paiement.","Helaas, er is iets misgegaan met de betaling. We hebben de betaling niet kunnen verwerken. Bevestig opnieuw je bestelling en vul nogmaals je gegevens in.",,,"Helaas, er is iets misgegaan met de betaling. We hebben de betaling niet kunnen verwerken. Bevestig opnieuw je bestelling en vul nogmaals je gegevens in.",
"checkout > confirmation.message","Pour toute question sur votre commande, contactez-nous au","Hebt u vragen over uw bestelling, neem dan contact met ons op via",,,"Hebt u vragen over uw bestelling, neem dan contact met ons op via",
"checkout > confirmation.returnshop","Poursuivre mes achats","Bestelling afronden",,,"Verder winkelen",
"checkout > confirmation.thankyou","Merci pour votre commande.","Bedankt voor uw bestelling.",,,"Bedankt voor uw bestelling.",
"checkout > minibillinginfo.amount","Montant","Bedrag",,,"Bedrag",
"checkout > minibillinginfo.billingaddress","Adresse de facturation","Facturatie Adres",,,,
"checkout > minicart.directcheckout","ou aller directement au paiement","of ga direct naar betalen",,,"of ga direct naar betalen",
"checkout > minicart.title","Votre panier","Uw winkelmand",,,"Uw winkelmand",
"checkout > minicart.viewcart","Afficher le panier","Winkelmand weergeven",,,"Winkelmand weergeven",
"checkout > minicart.viewcart.label","Aller au panier","Naar de winkelmand gaan",,,"Naar de winkelmand gaan",
"checkout > minishipments.shippingaddress","Adresse de livraison","afleveradres",,,"Leveringsadres",
"checkout > multishippingshipments.shipment","Livraison","Verzending",,,"Levering",
"checkout > singleshipping.enteraddress","Livraison","Afleveradres",,,"Levering",
"checkout > singleshipping.phonerequired","Pourquoi est-ce obligatoire ?","Waarom is dit verplicht?",,,"Waarom is dit verplicht?",
"checkout > summary.applied","Appliqué","Toegepast",,,"Toegepast",
"checkout > summary.couponnumber","N° du bon de réduction :","Voucher code:",,,,
"checkout > summary.editcart","Modifier le panier","Winkelmand aanpassen",,,"Winkelmand aanpassen",
"checkout > summary.notapplied","Non appliqué","Niet van toepassing",,,"Niet van toepassing",
"checkout > summary.orderdiscount","Remise sur la commande :","Korting op de bestelling:",,,"Korting op de bestelling:",
"checkout > summary.ordertotal","Total","Totaal",,,"Totaal",
"checkout > summary.title","Récapitulatif de la commande","Besteloverzicht",,,"Besteloverzicht",
"common > error_forbidden.message","Votre session a peut-être été détournée. Retour à la","Je sessie is mogelijk verplaatst. Ga terug naar de",,"Die Sitzung wurde möglicherweise umgeleitet. Gehe zurück zur","Uw sessie werd mogelijk omgeleid. Terug naar","Su sesión puede haber sido desviada. Volver a"
"components > menulinksleft.ecommerce","E-SHOP","shop",,,,
"components > menulinksright.promotions","Promotions","Promoties","Promozione",,"Promoties",
"components > orderdetails.billingaddress","Adresse de facturation","Factuuradres",,,"Factuuradres",
"components > orderdetails.paymentmethod","Mode de paiement","Betaalwijze",,,"Betaalwijze",
"components > orderdetails.paymenttotal","Total paiement","Totaal te voldoen",,,"Totaal te betalen",
"components > orderdetails.shippingaddress","Adresse de livraison","Bezorgadres",,,"Leveringsadres",
"components > orderdetails.shippingdetails","Détails de la livraison","Bezorginformatie",,,"Leveringsinformatie",
"components > orderdetails.shippingmethod","Mode de livraison :","Bezorgingsmethode:",,,"Leveringsmethode:",
"components > orderdetails.shippingstatus","état de la livraison :","bezorgstatus:",,,"Leveringsstatus:",
"components > orderdetails.shippingto","Livraison à ","Bezorging op",,,"Levering op",
"components > orderdetails.tracking","Numéro de suivi :","Trackingnummer:",,,"Trackingnummer:",
"components > ordersummary.orderdiscount","Remise sur la commande","Korting op de bestelling",,,,
"components > ordersummary.ordershipping","Livraison","Bezorging",,,"Levering",
"components > ordersummary.ordersubtotal","Sous-total de la commande","Subtotaal van de bestelling",,,"Subtotaal van de bestelling",
"components > ordersummary.subtotal","Sous-total","Subtotaal",,,"Subtotaal",
"contact > contact.accessories.label","Commande accessoires","Losse Onderdelen","Per ordinare degli accessori",,"Bestelling accessoires",
"email > contactus.sav","Demande de SAV / Réclamation provenant de votre site Internet","Garantie aanvraag",,"Service und Reklamation : Anfrage über Kontaktformular ","Aanvraag voor service na verkoop / klacht vanaf uw website","Información y consultas sobre devoluciones en relación al sitio web"
"email > contactus.other","Demande Autres provenant de votre site Internet","Contact",,"Sonstiges: Anfrage über Kontaktformular ","Andere vragen vanaf uw website","Otras consultas en relación al sitio web"
"email > contactus.subject.accessories","Commande accessoires","Losse Onderdelen","Per ordinare degli accessori",,"Bestelling accessoires","Solicitar accesorios"
"email > contactus.subject.notice","Notice d'utilisation","Gebruiksaanwijzing ","Istruzioni per l'uso",,"Gebruiksaanwijzing","Manual de instrucciones"
"email > contactus.text","Un message a été déposé sur le site Babyliss.FR.","Er is een bericht achtergelaten op de BaByliss.nl website ","Un messaggio è stato rilasciato sul sito Babyliss.FR.","Danke für deine Nachricht.","Er werd een bericht verstuurd via de website Babyliss.BE.",
"email > orderconfirmation.altorderconfirmed","Votre commande est confirmée !","Uw bestelling is bevestigd!",,,"Uw bestelling is bevestigd!",
"email > orderconfirmation.azur","N° AZUR 0 810 34 35 36 prix appel local","030 221 99 74",,,"030 221 99 74",
"email > orderconfirmation.contactus","Pour toute question sur votre commande, <br class=""hide""/>contactez-nous par email en remplissant le <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">formulaire de contact</u></a> <br class=""hide""/>ou par téléphone du lundi au vendredi, de 9h à 17h30 au&nbsp;numéro&nbsp;suivant","Heb je vragen over je bestelling? <br class=""hide""/>Neem dan contact met ons op via e-mail door het <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">contactformulier in te vullen</u></a> <br class=""hide""/>of telefonisch, van maandag tot en met donderdag, van 9:00 tot 17:00 uur en vrijdag, van 9:00 tot 15:30 uur op het&nbsp;volgende telefoonnummer&nbsp; ",,,"Hebt u vragen over uw bestelling? <br class=""hide""/>Neem dan contact met ons op via e-mail door het <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">contactformulier in te vullen</u></a> <br class=""hide""/>of telefonisch, van maandag tot en met donderdag, van 9:00 tot 17:00 uur en vrijdag, van 9:00 tot 15:30 uur op het&nbsp;volgende telefoonnummer&nbsp;",
"email > orderconfirmation.generatedmail","Cet e-mail est généré automatiquement, merci de ne pas y répondre.","Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren. ",,,"Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren.",
"email > orderconfirmation.paymentinfos","Informations pour le paiement","Betalingsinformatie ",,,"Betalingsinformatie",
"email > orderconfirmation.preheader","Confirmation de votre commande","Bevestiging van uw bestelling ",,,"Bevestiging van uw bestelling",
"email > orderconfirmation.shippingcost","Frais de livraison","Verzendkosten ",,,"Leveringskosten",
"email > orderconfirmation.subject","Confirmation de commande Babyliss","bevestiging van uw bestelling ",,,"Bevestiging van uw bestelling",
"email > orderconfirmation.tel","Tél :","Tel.: ",,,"Tel.:",
"email > orderconfirmation.thankfororder","<i>
<b>Merci pour votre commande,</b>
<br/><br/>
Nous avons le plaisir de vous confirmer que nous avons bien enregistré votre commande et nous vous remercions de votre confiance.
</i>
<br/><br/><br/>","<i>
<b>Bedankt voor je bestelling!</b>
<br/><br/>
We hebben jouw bestelling goed ontvangen en gaan deze gereed maken voor verzending.
<br/>De details van je bestelling vind je hieronder.
</i>
<br/><br/><br/> ",,,"<i>
<b>Bedankt voor uw bestelling,</b>
<br/><br/>
We zijn verheugd u te kunnen melden dat wij uw bestelling in goede orde hebben ontvangen en danken u voor uw vertrouwen.
</i>
<br/><br/><br/>",
"email > orderconfirmation.thankfororder2","Encore merci de votre confiance et à&nbsp;bientôt&nbsp;sur&nbsp;<a href=""http://www.babyliss.com"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d"">Babyliss.com</span></a>
<br/>L'équipe Babyliss","Dank voor je vertrouwen in BaByliss en tot ziens op<a href=""http://www.babyliss.nl"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d""> BaByliss.nl!</span></a>
<br/>Het BaByliss-team",,,"Nogmaals bedankt voor uw vertrouwen en tot ziens op<a href=""http://www.babyliss.be"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d""> BaByliss.be</span></a>
<br/>Het BaByliss-team",
"email > passwordemail.corpsmessage","<br/><br/>
Nous avons reçu un message demandant de réinitialiser le mot de passe associé à cette adresse e-mail. Si vous êtes bien l'auteur de cette demande, veuillez suivre les instructions ci-dessous. 
<br/><br/>
Si vous n'avez pas demandé la réinitialisation de votre mot de passe, ignorez simplement cet e-mail. Soyez sans crainte, votre compte utilisateur est toujours protégé.
<br/><br/>
Cliquez ci-dessous pour réinitialiser dès maintenant votre mot de passe :","<br/><br/>We hebben een verzoek ontvangen om het wachtwoord dat aan dit e-mailadres is gekoppeld te wijzigen. Hebt u dit verzoek verstuurd, volg dan de onderstaande instructies. 
<br/><br/>
Hebt u niet om een wijziging van uw wachtwoord gevraagd, dan kunt u deze e-mail gewoon negeren. Maak u geen zorgen, uw gebruikersaccount is nog altijd goed beschermd.
<br/><br/>
Klik hieronder om nu uw wachtwoord opnieuw in te stellen:",,,"<br/><br/>We hebben een verzoek ontvangen om het wachtwoord dat aan dit e-mailadres is gekoppeld te wijzigen. Hebt u dit verzoek verstuurd, volg dan de onderstaande instructies. 
<br/><br/>
Hebt u niet om een wijziging van uw wachtwoord gevraagd, dan kunt u deze e-mail gewoon negeren. Maak u geen zorgen, uw gebruikersaccount is nog altijd goed beschermd.
<br/><br/>
Klik hieronder om nu uw wachtwoord opnieuw in te stellen:",
"email > passwordemail.forgottenpassword","Vous avez oublié votre mot de passe ?","U bent uw wachtwoord vergeten? ",,,"U bent uw wachtwoord vergeten?",
"email > passwordemail.nolink1","Si un clic ne suffit pas pour ouvrir le lien, copiez et collez ce lien : 
<br/><br/>","Werkt de knop niet, kopieer en plak dan deze link in uw browser: 
<br/><br/> ",,,"Werkt de knop niet, kopieer en plak dan deze link in uw browser: 
<br/><br/>",
"email > passwordemail.nolink2","<br/>dans la zone d'adresse de votre navigateur ou retapez-le dans ce même endroit. Vous recevrez les instructions à suivre pour réinitialiser votre mot de passe. Remarque : ce lien n'est actif que pendant une courte période.
<br/><br/>
Pour des raisons de sécurité, ce lien arrivera à expiration dans 30 minutes ou dès que vous aurez réinitialisé votre mot de passe.
<br/><br/>
<span style=""font-size:10px;"" class=""f16center"">Cet e-mail est généré automatiquement, merci de ne pas y répondre.</span>","<br/>in de adresbalk van uw browser of typ hem daar over. U ontvangt dan instructies voor het opnieuw instellen van uw wachtwoord.",,,"<br/>in de adresbalk van uw browser of typ hem daar over. U ontvangt dan instructies voor het opnieuw instellen van uw wachtwoord.",
"email > passwordemail.oupsforgottenpassword","Oups ! Vous avez oublié votre mot de passe","Oeps! U bent uw wachtwoord vergeten",,,,
"email > passwordemail.resetpassword","RÉINITIALISER MON MOT DE PASSE","WACHTWOORD INSTELLEN ",,,"WACHTWOORD INSTELLEN",
"email > passwordemail.subject","Votre mot de passe Babyliss","Uw BaByliss-wachtwoord ",,,"Uw BaByliss-wachtwoord",
"email > resource.dear","Cher(ère)","Beste",,,"Beste",
"email > resource.from","noreply@babyliss.fr","noreply@babyliss.nl",,,"noreply@babyliss.be",
"email > resource.passwordassistance","Aide pour le mot de passe","Uw wachtwoord is aangepast",,,"Uw wachtwoord is aangepast",
"email > welcoming.confirmation","Nous vous confirmons <span class=""block"">la création de votre compte.</span><br/>Merci de votre confiance et <span class=""block"">à très bientôt sur <a href=""http://www.babyliss.fr"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.fr</u></a>&nbsp;!</span>","Hierbij bevestigen wij dat <span class=""block"">uw account is aangemaakt.</span><br/>Bedankt voor uw vertrouwen en <span class=""block"">à très tot ziens op <a href=""http://www.babyliss.nl"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.nl</u></a>&nbsp;!</span> ",,,"Hierbij bevestigen wij dat <span class=""block"">uw account is aangemaakt.</span><br/>Bedankt voor uw vertrouwen en <span class=""block"">à très tot ziens op <a href=""http://www.babyliss.be"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.be</u></a>&nbsp;!</span>",
"email > welcoming.easierpurchase","Facilitez vos prochains<br/>achats en enregistrant vos<br/>informations de facturation<br/>et livraison","Winkel voortaan nog gemakkelijker<br/>aankopen gemakkelijker door uw <br/>factuur- <br/>en bezorginformatie op te slaan",,,,
"email > welcoming.espaceperso","Bienvenue sur votre espace personnel Babyliss","Welkom op uw persoonlijke BaByliss-pagina ",,,"Welkom op uw persoonlijke BaByliss-pagina",
"email > welcoming.history","Retrouvez l’historique<br/>de vos commandes","Uw l’bestelgeschiedenis<br/>ophalen ",,,"Uw l’bestelgeschiedenis<br/>ophalen",
"email > welcoming.logo.alt","BaByliss Paris","BaByliss Paris",,,"BaByliss Paris",
"email > welcoming.noreply","Cet e-mail est généré automatiquement, merci de ne pas y répondre.","Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren. ",,,"Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren.",
"email > welcoming.receiveoffer","Recevez des actualités<br/>et offres exclusives<br/>par email&nbsp;!","Ontvang het laatste nieuws<br/>en exclusieve aanbiedingen<br/>per e-mail&nbsp;! ",,,"Ontvang het laatste nieuws<br/>en exclusieve aanbiedingen<br/>per e-mail&nbsp;!",
"email > welcoming.subject","Babyliss vous remercie d'avoir crée votre compte","BaByliss bedankt u omdat u een account hebt aangemaakt ",,,"BaByliss bedankt u omdat u een account hebt aangemaakt",
"email > welcoming.thank","Merci d'avoir créé votre compte Babyliss","Bedankt dat u een BaByliss-account hebt aangemaakt ",,,"Bedankt dat u een BaByliss-account hebt aangemaakt",
"email > welcoming.univers","A chacun son univers, à chacun ses produits préférés chez BaByliss","Producten voor iedereen, ieder zijn eigen BaByliss-favorieten ",,,"Producten voor iedereen, ieder zijn eigen BaByliss-favorieten",
"locale > global.accountlink","Mon compte","Mijn account",,,"Mijn account",
"locale > global.addtocart","ACHETER SUR CE SITE","In winkelmandje",,,"In winkelmandje",
"locale > global.allnotavailable","Cet article n'est pas disponible actuellement.","momenteel niet voorraadig",,,"momenteel niet voorraadig",
"locale > global.amount","Montant","Bedrag",,,"Bedrag",
"locale > global.applied","Appliqué","Toegepast",,,"Toegepast",
"locale > global.apply","OK","CONTROLEREN",,,"REGISTREREN",
"locale > global.availability","Disponibilité","Beschikbaarheid",,,"Beschikbaarheid",
"locale > global.carousel.featuredproducts","Vous pourriez être intéressé(e) par ces produits","Producten die voor u mogelijk interessant zijn",,,"Producten die voor u mogelijk interessant zijn",
"locale > global.checkout","Valider & payer","doorgaan met je bestelling",,,"Doorgaan met uw bestelling",
"locale > global.continue","Continuer","Doorgaan",,,"Doorgaan",
"locale > global.continuebilling","Continuer >","verder",,,"verder",
"locale > global.continuecheckout","Poursuivre le paiement","Verder met betalen",,,"Verder met betalen",
"locale > global.continueplaceorder","Continuer >","Doorgaan >",,,"Doorgaan >",
"locale > global.continueshippingmethods","Choisir le mode de livraison >","Kies bezorgmethode >",,,"Kies leveringsmethode >",
"locale > global.continueshopping","Continuer les achats","Verder winkelen",,,"Verder winkelen",
"locale > global.createbutton","Créer un compte","Creeër account",,,"Creeër account",
"locale > global.createnowbutton","Créer un compte","Account aanmaken",,,"Account aanmaken","crear una cuenta"
"locale > global.delete","Supprimer","Verwijderen",,,"Verwijderen",
"locale > global.deliveredviaemail","- Envoyé par e-mail","- Verstuurd per e-mail",,,"- Verstuurd per e-mail",
"locale > global.description","Description","Beschrijving",,,"Beschrijving",
"locale > global.details","Détails","Gegevens",,,"Gegevens",
"locale > global.edit","Modifier","Aanpassen",,,"Aanpassen",
"locale > global.editaaddress","Modifier l'adresse","Adres aanpassen",,,"Adres aanpassen",
"locale > global.editdetails","Modifier les détails","Gegevens aanpassen",,,"Gegevens aanpassen",
"locale > global.error","Erreur","Fout",,,"Fout",
"locale > global.estimatedtotal","Total panier","Totaal bedrag",,,"Totaal bedrag",
"locale > global.find","Rechercher","Zoeken",,,"Zoeken",
"locale > global.folderrefinement.label.prefix","Aller à la page :","Naar de pagina gaan:",,,"Naar de pagina gaan:",
"locale > global.free","Gratuit","Gratis",,,"Gratis",
"locale > global.from","De","van",,,"van",
"locale > global.go","Valider","Bevestigen",,,"Bevestigen",
"locale > global.goprevious","Précédent","Vorige",,,"Vorige",
"locale > global.header.wishlistlink","Liste de souhaits","Verlanglijst",,,"Verlanglijst",
"locale > global.instock","En stock","Op voorraad",,,"Op voorraad",
"locale > global.invalidpostal","Format requis : 12345, pour rappel nous ne livrons qu'en France Métropolitaine","Voer een geldige postcode in. Voorbeeld 1234 AB",,,,
"locale > global.item","Article","Artikel",,,"Artikel",
"locale > global.itemno","Référence :","Type:",,,"Type:",
"locale > global.login","Connexion","Inloggen",,,"Inloggen",
"locale > global.logout","Déconnexion","UITLOGGEN",,,"UITLOGGEN",
"locale > global.next","Suivant","Volgende",,"nächste","Volgende","Siguiente"
"locale > global.nosavedaddress","Il n'y a actuellement aucune adresse enregistrée.","Er is op dit moment geen adres geregistreerd.",,,"Er is op dit moment geen adres geregistreerd.",
"locale > global.nothanks","Non merci","Nee, bedankt",,,"Nee, bedankt",
"locale > global.or","ou","of",,,"of",
"locale > global.ordertotal","Total :","Totaal:",,,"Totaal:",
"locale > global.paginginformation.showing","Affichage","Resultaat ",,,"Resultaat",
"locale > global.price","Prix","Prijs",,,"Prijs",
"locale > global.privacypolicy","Voir la politique de confidentialité","Zie het privacybeleid",,,"Zie het privacybeleid",
"locale > global.product","Produit","Product",,,"Product",
"locale > global.qty","Qté","Aantal",,,"Aantal",
"locale > global.quantity","Quantité","Hoeveelheid",,,"Hoeveelheid",
"locale > global.register","Enregistrer","Registreren",,,"Registreren",
"locale > global.remove","Supprimer","Verwijderen",,,"Verwijderen",
"locale > global.search","Rechercher","Zoek",,"Suchen…","Zoeken","Buscar"
"locale > global.select","Sélectionner","Kiezen","Selezionare",,"Kiezen",
"locale > global.selectaddressmessage","Sélectionner une adresse","Selecteer een adres ",,,"Selecteer een adres",
"locale > global.signup","S'INSCRIRE","INSCHRIJVEN",,,"INSCHRIJVEN",
"locale > global.socialshare.whatsapp.label","Partager par WhatsApp","Deel op WhatsApp",,"Auf WhatsApp teilen","Deel op WhatsApp","Compartir en Whatsapp"
"locale > global.submitorder","Confirmer la commande","Bestelling bevestigen",,,"Bestelling bevestigen",
"locale > global.totalprice","Total","Totaal ",,,"Totaal",
"locale > global.updatecart","Mettre à jour le panier","Winkelmand bijwerken",,,"Winkelmand bijwerken",
"locale > global.user","Utilisateur","Gebruiker",,"Benutzer","Gebruiker","Usuario"
"locale > globalaccount.createheader","S'inscrire","Inschrijven",,,"Inschrijven",
"locale > globalaccount.createmessage","C’est très simple, un simple formulaire suffit!","Het is heel simpel, u hoeft alleen maar een eenvoudig formulier in te vullen!",,,"Het is heel simpel, u hoeft alleen maar een eenvoudig formulier in te vullen!",
"order > order.orderconfirmation-email.thankyou","- Merci pour votre commande ","- Bedankt voor uw bestelling",,,"- Bedankt voor uw bestelling",
"order > order.orderconfirmation-email.thankyouus","Nous vous remercions de votre commande.","Bedankt voor uw bestelling.",,,"Bedankt voor uw bestelling.",
"order > order.orderdetails.paymentinfo","Informations pour le paiement","Betalingsinformatie",,,"Betalingsinformatie",
"order > order.orderdetails.billingaddress","Adresse de facturation","Factuuradres",,,"Factuuradres",
"order > order.orderdetails.paymentmethod","Mode de paiement","Betaalwijze",,,"Betaalwijze",
"order > order.orderdetails.paymenttotal","Total paiement","Totaal bedrag",,,"Totaal bedrag",
"order > order.orderdetails.shippingmethod","Mode de livraison :","Verzending:",,,"Verzending:",
"order > order.orderdetails.shippingstatus","État de la livraison :","Status:",,,"Status:",
"order > order.orderdetails.shippingto","Livraison à ","Verzendadres",,,"Verzendadres",
"order > order.orderdetails.notshipped","Non expédié","Nog niet verzonden",,,"Nog niet verzonden",
"order > order.orderdetails.orderplaced","Commande passée :","Geplaatste bestelling:",,,"Geplaatste bestelling:",
"order > order.orderdetails.ordernumber","Numéro de commande :","Bestelnummer:",,,"Bestelnummer:",
"order > order.orderdetails.giftcertto","À :","Te:",,,"Te:",
"order > order.orderdetails.giftcertfrom","De :","Van:",,,"Van:",
"order > order.orderdetails.giftmessage","Message :","Bericht:",,,"Bericht:",
"order > order.orderdetails.giftcertshippingaddress","Envoyé à :","Verstuurd naar:",,,"Verstuurd naar:",
"order > order.ordersummary.subtotal","Sous-total","Subtotaal",,,"Subtotaal",
"order > order.ordersummary.orderdiscount","Remise sur la commande","Korting",,,,
"order > order.ordersummary.ordershipping","Livraison","Bezorging",,,"Bezorging",
"storelocator > storelocator.countryRestriction","FR","NL","IT",,"BE","ES"
"storelocator > storelocator.ou","ou","of",,,"of","o"
"storelocator > storelocator.storelocatorresults.ensavoirplus","en savoir plus","meer weten",,,"meer weten","saber más"
